claim_id,repair_category,estimated_cost,actual_cost,cost_date
CLM-000754,Structural,3855.11,4063.91,2026-05-08
CLM-000755,Roof,30939.34,28874.86,2026-03-08
CLM-000757,Plumbing,5503.4,5156.26,2026-03-26
CLM-000759,Roof,8444.61,8120.27,2026-03-23
CLM-000761,Plumbing,20887.13,21030.74,2026-04-18
CLM-000762,Electrical,16888.38,16857.39,2026-06-17
CLM-000763,Roof,8209.5,9165.48,2026-03-21
CLM-000765,Plumbing,1622.83,1498.56,2026-04-27
CLM-000766,Roof,141434.12,124834.98,2026-04-06
CLM-000767,Electrical,9454.88,10330.43,2026-04-03
CLM-000768,Structural,8623.46,8351.65,2026-04-26
CLM-000769,Contents,1690.04,1495.87,2026-05-01
CLM-000770,Structural,2681.99,3064.89,2026-05-10
CLM-000771,Structural,21446.98,24417.06,2026-04-01
CLM-000775,Roof,7935.13,7964.18,2026-05-26
CLM-000776,Electrical,6714.32,6384.57,2026-05-06
CLM-000777,Contents,2172.61,2537.27,2026-05-08
CLM-000778,Structural,3711.51,4101.88,2026-04-24
CLM-000779,Roof,16427.14,16377.6,2026-04-17
CLM-000781,Plumbing,4307.76,4202.93,2026-04-14
CLM-000784,Plumbing,2087.86,2341.51,2026-05-16
CLM-000785,Contents,4194.32,3903.31,2026-05-08
CLM-000786,Contents,4868.99,4362.42,2026-05-18
CLM-000787,Electrical,4775.33,5144.49,2026-04-16
CLM-000788,Roof,2791.17,3202.09,2026-04-18
CLM-000792,Plumbing,12434.89,11384.1,2026-04-23
CLM-000793,Roof,51373.34,54371.94,2026-05-25
CLM-000794,Structural,2070.7,2351.19,2026-04-27
CLM-000797,Contents,6118.39,6714.61,2026-05-14
CLM-000798,Roof,5765.33,6522.46,2026-06-02
CLM-000799,Contents,2630.65,3049.5,2026-05-13
CLM-000801,Roof,9474.08,9736.02,2026-05-04
CLM-000803,Roof,12843.32,15029.13,2026-05-30
CLM-000804,Contents,13375.52,15156.68,2026-05-29
CLM-000805,Roof,4262.0,4637.05,2026-05-14
CLM-000807,Plumbing,10122.29,10775.59,2026-06-18
CLM-000808,Plumbing,1008.12,1171.58,2026-05-20
CLM-000809,Structural,3887.28,4279.99,2026-07-01
CLM-000810,Contents,4604.29,,
CLM-000811,Roof,9162.43,8304.1,2026-06-02
CLM-000817,Contents,7643.63,8843.4,2026-07-13
CLM-000819,Contents,7768.84,,
CLM-000820,Structural,3943.31,3850.13,2026-06-28
CLM-000821,Electrical,4626.57,4944.17,2026-06-25
CLM-000822,Electrical,15070.3,14001.0,2026-06-20
CLM-000823,Electrical,4620.84,4646.37,2026-06-07
CLM-000824,Structural,2865.06,,
CLM-000825,Electrical,7302.27,7079.37,2026-08-07
CLM-000826,Structural,9171.25,,
CLM-000827,Structural,2280.95,,
CLM-000828,Roof,4563.03,4557.83,2026-07-07
CLM-000829,Plumbing,1367.91,,
CLM-000830,Plumbing,7843.31,8681.4,2026-08-02
CLM-000831,Plumbing,7968.19,,
CLM-000832,Structural,18192.48,18742.28,2026-06-16
CLM-000833,Roof,11492.92,12990.79,2026-06-23
CLM-000834,Structural,108008.01,104475.88,2026-06-30
CLM-000836,Contents,10118.57,,
CLM-000837,Electrical,11031.75,,
CLM-000838,Roof,1398.37,,
CLM-000840,Plumbing,318.58,358.67,2026-08-11
CLM-000841,Roof,3271.26,,
CLM-000842,Electrical,9493.47,10344.71,2026-06-30
CLM-000843,Roof,7650.71,,
CLM-000844,Contents,4781.7,4661.1,2026-07-01
CLM-000846,Electrical,5939.98,6228.12,2026-07-17
CLM-000847,Plumbing,4482.44,5246.98,2026-07-08
CLM-000849,Structural,6457.41,7401.81,2026-07-20
CLM-000851,Plumbing,896.79,,
CLM-000852,Plumbing,20684.73,23246.87,2026-07-28
CLM-000853,Contents,11080.81,12580.76,2026-07-23
CLM-000854,Structural,19899.6,,
CLM-000858,Electrical,1190.54,,
CLM-000859,Roof,4540.82,,
CLM-000860,Plumbing,2985.2,3129.62,2026-07-31
CLM-000862,Roof,5563.28,,
CLM-000863,Exterior/Siding,70129.19,,
CLM-000864,Exterior/Siding,1748.57,,
CLM-000864,Water Mitigation,2698.71,,
CLM-000864,Roof,5119.72,,
CLM-000865,Structural,20486.68,20566.41,2026-08-15
CLM-000866,Roof,25004.13,,
CLM-000866,Structural,62521.82,,
CLM-000867,Exterior/Siding,31339.06,,
CLM-000867,Structural,58173.9,,
CLM-000868,Roof,14839.24,,
CLM-000869,Contents,12114.13,,
CLM-000870,Roof,3162.59,,
CLM-000870,Contents,4649.44,,
CLM-000871,Roof,10330.5,,
CLM-000871,Structural,11542.63,,
CLM-000871,Exterior/Siding,38701.95,,
CLM-000872,Exterior/Siding,5275.91,5295.75,2026-08-12
CLM-000872,Water Mitigation,14841.06,14608.84,2026-08-12
CLM-000873,Water Mitigation,25355.94,,
CLM-000874,Water Mitigation,257818.53,,
CLM-000875,Roof,2086.95,,
CLM-000875,Exterior/Siding,4900.84,,
CLM-000876,Exterior/Siding,26572.62,,
CLM-000877,Contents,13929.6,,
CLM-000877,Exterior/Siding,18005.69,,
CLM-000877,Roof,26271.38,,
CLM-000878,Structural,6772.91,,
CLM-000878,Exterior/Siding,12674.26,,
CLM-000879,Structural,5746.75,5240.47,2026-08-01
CLM-000879,Roof,6808.3,6000.47,2026-08-01
CLM-000879,Contents,11084.1,12060.96,2026-08-01
CLM-000880,Water Mitigation,40983.4,,
CLM-000881,Water Mitigation,43028.75,,
CLM-000881,Roof,74720.24,,
CLM-000882,Contents,135041.67,,
CLM-000883,Exterior/Siding,6228.04,,
CLM-000883,Roof,10097.02,,
CLM-000883,Contents,22120.53,,
CLM-000884,Contents,196117.54,,
CLM-000884,Structural,448097.22,,
CLM-000885,Exterior/Siding,11215.64,,
CLM-000886,Exterior/Siding,5106.33,,
CLM-000886,Roof,14582.37,,
CLM-000887,Exterior/Siding,12976.81,,
CLM-000887,Structural,24814.35,,
CLM-000888,Water Mitigation,51151.8,,
CLM-000889,Water Mitigation,25047.53,22252.35,2026-08-02
CLM-000890,Structural,24631.62,,
CLM-000891,Roof,32353.49,,
CLM-000891,Water Mitigation,34737.16,,
CLM-000891,Exterior/Siding,74160.61,,
CLM-000892,Roof,5809.19,,
CLM-000892,Contents,6339.67,,
CLM-000892,Exterior/Siding,15927.28,,
CLM-000893,Exterior/Siding,15098.71,,
CLM-000894,Structural,19607.18,,
CLM-000894,Roof,34692.61,,
CLM-000895,Structural,7855.61,,
CLM-000895,Exterior/Siding,13084.82,,
CLM-000896,Exterior/Siding,139456.9,,
CLM-000896,Roof,218941.1,,
CLM-000897,Exterior/Siding,390377.62,,
CLM-000898,Contents,65222.12,,
CLM-000899,Water Mitigation,15316.45,,
CLM-000899,Structural,54964.05,,
CLM-000900,Contents,251005.3,,
CLM-000901,Water Mitigation,27999.72,,
CLM-000901,Roof,47742.79,,
CLM-000901,Structural,70780.47,,
CLM-000902,Contents,84453.62,,
CLM-000902,Exterior/Siding,115633.75,,
CLM-000902,Roof,173364.77,,
CLM-000903,Water Mitigation,13138.77,,
CLM-000903,Contents,17923.22,,
CLM-000903,Roof,44250.58,,
CLM-000904,Contents,69123.08,,
CLM-000904,Structural,136157.09,,
CLM-000905,Roof,15430.24,,
CLM-000905,Water Mitigation,20361.6,,
CLM-000905,Exterior/Siding,35149.7,,
CLM-000906,Structural,83808.65,,
CLM-000907,Contents,42968.14,,
CLM-000908,Exterior/Siding,23718.87,,
CLM-000909,Water Mitigation,49207.53,,
CLM-000909,Structural,114024.77,,
CLM-000910,Contents,20787.86,,
CLM-000911,Exterior/Siding,54401.7,,
CLM-000911,Structural,110823.23,,
CLM-000912,Roof,8794.23,,
CLM-000912,Water Mitigation,10616.44,,
CLM-000912,Exterior/Siding,17383.49,,
CLM-000913,Roof,25972.27,,
CLM-000913,Structural,41976.44,,
CLM-000913,Water Mitigation,73558.54,,
CLM-000914,Structural,5434.78,,
CLM-000914,Exterior/Siding,8448.5,,
CLM-000915,Structural,8976.38,,
CLM-000916,Structural,12484.49,,
CLM-000917,Structural,14367.46,,
CLM-000917,Exterior/Siding,21323.87,,
CLM-000918,Exterior/Siding,5803.37,,
CLM-000918,Roof,6690.57,,
CLM-000918,Structural,12598.74,,
CLM-000919,Water Mitigation,111754.68,,
CLM-000919,Roof,300459.63,,
CLM-000920,Structural,10522.62,,
CLM-000920,Contents,27884.1,,
CLM-000921,Contents,22520.53,,
CLM-000922,Structural,6609.87,6613.4,2026-08-10
CLM-000923,Water Mitigation,26210.64,,
CLM-000924,Water Mitigation,60591.33,,
CLM-000924,Structural,112414.99,,
CLM-000925,Roof,30291.35,,
CLM-000925,Exterior/Siding,41818.61,,
CLM-000926,Exterior/Siding,33330.22,,
CLM-000927,Water Mitigation,12660.13,,
CLM-000927,Structural,15436.67,,
CLM-000928,Contents,63664.24,,
CLM-000928,Water Mitigation,100346.44,,
CLM-000929,Exterior/Siding,8207.39,,
CLM-000930,Exterior/Siding,21636.3,,
CLM-000930,Contents,46766.9,,
CLM-000931,Water Mitigation,59165.47,,
CLM-000932,Roof,13590.64,,
CLM-000932,Exterior/Siding,32097.3,,
CLM-000933,Roof,1031901.75,,
CLM-000934,Structural,11355.32,,
CLM-000935,Water Mitigation,6023.07,,
CLM-000936,Exterior/Siding,135875.87,,
CLM-000937,Structural,21065.5,,
CLM-000937,Contents,26889.12,,
CLM-000937,Water Mitigation,66997.18,,
CLM-000938,Water Mitigation,5886.74,,
CLM-000939,Structural,51027.37,,
CLM-000939,Exterior/Siding,73136.14,,
CLM-000940,Water Mitigation,54219.52,,
CLM-000940,Contents,73473.56,,
CLM-000941,Structural,9439.42,,
CLM-000941,Exterior/Siding,13139.19,,
CLM-000941,Water Mitigation,21756.37,,
CLM-000942,Water Mitigation,32028.06,,
CLM-000942,Contents,40996.46,,
CLM-000942,Exterior/Siding,87167.06,,
CLM-000943,Structural,73513.96,,
CLM-000944,Water Mitigation,25144.45,,
CLM-000944,Exterior/Siding,42895.7,,
CLM-000945,Structural,14063.7,,
CLM-000945,Contents,23757.25,,
CLM-000946,Exterior/Siding,12978.21,,
CLM-000946,Water Mitigation,26073.19,,
CLM-000947,Water Mitigation,32393.56,,
CLM-000947,Roof,47075.83,,
CLM-000948,Water Mitigation,163455.89,,
CLM-000949,Water Mitigation,328932.0,,
CLM-000949,Roof,889984.02,,
CLM-000950,Roof,67799.61,,
CLM-000950,Structural,142160.7,,
CLM-000951,Structural,175748.99,,
CLM-000952,Contents,3358.49,,
CLM-000952,Roof,5148.65,,
CLM-000952,Water Mitigation,8153.72,,
CLM-000953,Water Mitigation,2767.18,,
CLM-000953,Contents,4213.31,,
CLM-000954,Roof,35126.24,,
CLM-000955,Structural,27752.89,,
CLM-000955,Roof,45245.9,,
CLM-000955,Contents,62897.75,,
CLM-000956,Structural,4315.37,,
CLM-000956,Contents,7879.31,,
CLM-000957,Exterior/Siding,66487.13,,
CLM-000958,Structural,228840.62,,
CLM-000958,Exterior/Siding,354140.57,,
CLM-000959,Contents,30212.14,,
CLM-000960,Exterior/Siding,215812.07,,
CLM-000961,Exterior/Siding,93203.03,,
CLM-000962,Contents,39851.67,,
CLM-000962,Water Mitigation,84649.99,,
CLM-000963,Structural,74145.69,,
CLM-000963,Roof,151286.78,,
CLM-000963,Water Mitigation,180796.93,,
CLM-000964,Structural,22351.59,,
CLM-000965,Roof,48930.71,,
CLM-000965,Water Mitigation,79112.62,,
CLM-000966,Structural,39887.65,,
CLM-000967,Roof,16168.66,,
CLM-000968,Water Mitigation,195584.59,,
CLM-000969,Exterior/Siding,209754.76,,
CLM-000970,Roof,27969.82,,
CLM-000971,Structural,11826.71,,
CLM-000972,Exterior/Siding,238920.83,,
CLM-000972,Roof,664531.14,,
CLM-000973,Contents,28004.16,,
CLM-000973,Exterior/Siding,40786.15,,
CLM-000974,Contents,8061.38,,
CLM-000975,Contents,87292.8,,
CLM-000976,Roof,5625.64,,
CLM-000977,Exterior/Siding,2266.57,,
CLM-000977,Structural,6358.27,,
CLM-000978,Exterior/Siding,43149.52,,
CLM-000979,Water Mitigation,3748.68,,
CLM-000979,Contents,5375.84,,
CLM-000980,Structural,245047.93,,
CLM-000981,Water Mitigation,16152.7,,
CLM-000981,Structural,39522.1,,
CLM-000982,Structural,81076.54,,
CLM-000983,Water Mitigation,11451.25,,
CLM-000984,Exterior/Siding,20307.73,,
CLM-000984,Water Mitigation,45143.98,,
CLM-000985,Exterior/Siding,55549.09,,
CLM-000985,Water Mitigation,76367.62,,
CLM-000985,Structural,114949.66,,
CLM-000986,Structural,88222.87,78851.75,2026-08-09
CLM-000986,Roof,130853.77,125295.86,2026-08-09
CLM-000987,Contents,5127.01,,
CLM-000987,Water Mitigation,14020.25,,
CLM-000988,Exterior/Siding,46938.15,,
CLM-000989,Roof,10520.76,,
CLM-000990,Water Mitigation,31139.71,,
CLM-000991,Exterior/Siding,127678.7,,
CLM-000991,Roof,419515.64,,
CLM-000992,Roof,26381.44,,
CLM-000993,Contents,12174.49,,
CLM-000993,Roof,23829.67,,
CLM-000994,Contents,48904.82,,
CLM-000995,Water Mitigation,18639.02,,
CLM-000996,Water Mitigation,23290.87,,
CLM-000996,Roof,52650.95,,
CLM-000997,Exterior/Siding,16398.51,,
CLM-000997,Roof,49229.37,,
CLM-000998,Water Mitigation,19252.24,,
CLM-000999,Exterior/Siding,108708.62,,
CLM-001000,Water Mitigation,47634.84,,
CLM-001001,Contents,5722.89,,
CLM-001002,Contents,9475.37,,
CLM-001002,Water Mitigation,16041.81,,
CLM-001003,Contents,89888.88,,
CLM-001003,Water Mitigation,191617.05,,
CLM-001004,Exterior/Siding,40875.65,,
CLM-001005,Contents,5399.17,,
CLM-001005,Roof,10747.24,,
CLM-001006,Structural,26944.83,,
CLM-001006,Exterior/Siding,38203.67,,
CLM-001006,Contents,48833.29,,
CLM-001007,Roof,134594.65,131785.7,2026-08-04
CLM-001007,Contents,228914.71,207396.29,2026-08-04
CLM-001008,Contents,8028.91,,
CLM-001008,Water Mitigation,13551.77,,
CLM-001008,Structural,28978.73,,
CLM-001009,Structural,15035.49,,
CLM-001009,Contents,22054.38,,
CLM-001009,Roof,39269.14,,
CLM-001010,Roof,18118.81,,
CLM-001010,Exterior/Siding,33585.73,,
CLM-001010,Structural,50791.07,,
CLM-001011,Structural,44707.61,,
CLM-001012,Exterior/Siding,37206.95,,
CLM-001013,Roof,36907.88,,
CLM-001013,Exterior/Siding,64776.1,,
CLM-001014,Contents,14303.71,,
CLM-001015,Contents,178932.22,,
CLM-001015,Water Mitigation,407877.32,,
CLM-001016,Water Mitigation,19296.25,,
CLM-001016,Contents,34961.26,,
CLM-001016,Roof,78181.41,,
CLM-001017,Contents,2643.35,,
CLM-001018,Exterior/Siding,30954.12,,
CLM-001018,Contents,49270.33,,
CLM-001019,Water Mitigation,37778.94,,
CLM-001019,Contents,93123.05,,
CLM-001020,Contents,37455.03,,
CLM-001021,Exterior/Siding,20406.81,,
CLM-001022,Water Mitigation,50427.26,,
CLM-001023,Exterior/Siding,5274.7,,
CLM-001024,Water Mitigation,24117.85,,
CLM-001025,Roof,88200.81,,
CLM-001026,Water Mitigation,20678.75,,
CLM-001026,Contents,29386.91,,
CLM-001026,Roof,89128.67,,
CLM-001027,Structural,27813.59,,
CLM-001027,Water Mitigation,40231.28,,
CLM-001027,Roof,60791.47,,
CLM-001028,Structural,19505.29,,
CLM-001028,Water Mitigation,29103.0,,
CLM-001029,Roof,9243.89,10746.04,2026-08-01
CLM-001029,Exterior/Siding,19335.68,19193.83,2026-08-01
CLM-001030,Roof,17016.28,,
CLM-001031,Exterior/Siding,16242.89,,
CLM-001032,Structural,27030.97,,
CLM-001033,Exterior/Siding,39611.88,,
CLM-001034,Water Mitigation,13340.06,,
CLM-001034,Structural,28249.38,,
CLM-001035,Structural,3865.12,,
CLM-001035,Water Mitigation,12152.27,,
CLM-001036,Structural,9518.3,,
CLM-001036,Roof,19069.03,,
CLM-001036,Contents,36493.05,,
CLM-001037,Contents,10586.04,,
CLM-001037,Structural,23372.93,,
CLM-001038,Contents,10572.81,,
CLM-001038,Roof,23088.59,,
CLM-001039,Contents,12701.18,,
CLM-001039,Roof,27686.14,,
CLM-001039,Water Mitigation,37278.41,,
CLM-001040,Roof,123628.06,,
CLM-001040,Exterior/Siding,194415.63,,
CLM-001041,Structural,85245.03,,
CLM-001042,Contents,6383.61,,
CLM-001042,Exterior/Siding,7359.85,,
CLM-001042,Water Mitigation,19188.81,,
CLM-001043,Exterior/Siding,8205.77,,
CLM-001043,Roof,16484.67,,
CLM-001044,Contents,39812.78,,
CLM-001045,Roof,10987.61,,
CLM-001045,Exterior/Siding,16004.99,,
CLM-001045,Contents,37525.42,,
CLM-001046,Exterior/Siding,12611.01,,
CLM-001046,Water Mitigation,11368.51,,
CLM-001046,Contents,32422.27,,
CLM-001047,Structural,30432.35,,
CLM-001048,Water Mitigation,30839.46,,
CLM-001048,Structural,47354.75,,
CLM-001049,Roof,15180.18,,
CLM-001050,Exterior/Siding,45241.86,,
CLM-001051,Exterior/Siding,118330.34,,
CLM-001052,Roof,6386.96,,
CLM-001052,Exterior/Siding,15757.1,,
CLM-001053,Water Mitigation,18266.33,,
CLM-001054,Exterior/Siding,18953.82,,
CLM-001055,Contents,75660.35,,
CLM-001056,Exterior/Siding,23880.65,,
CLM-001056,Structural,41034.09,,
CLM-001057,Roof,652845.56,,
CLM-001058,Exterior/Siding,7501.49,,
CLM-001059,Structural,15560.76,,
CLM-001059,Contents,33285.13,,
CLM-001060,Structural,62047.96,,
CLM-001061,Structural,22354.13,23475.51,2026-07-20
CLM-001061,Water Mitigation,42550.59,42315.74,2026-07-20
CLM-001062,Water Mitigation,3280.34,,
CLM-001063,Structural,657228.23,,
CLM-001063,Exterior/Siding,1115661.06,,
CLM-001064,Contents,19381.16,,
CLM-001064,Roof,49733.1,,
CLM-001065,Structural,6587.17,7139.57,2026-08-08
CLM-001065,Exterior/Siding,9189.69,10358.06,2026-08-08
CLM-001066,Exterior/Siding,47306.72,,
CLM-001067,Roof,49317.34,,
CLM-001068,Roof,66625.94,,
CLM-001068,Structural,110398.97,,
CLM-001069,Roof,8915.6,,
CLM-001070,Water Mitigation,3445.46,,
CLM-001070,Contents,5924.58,,
CLM-001070,Roof,8370.91,,
CLM-001071,Water Mitigation,684371.21,,
CLM-001072,Water Mitigation,18342.54,,
CLM-001073,Roof,16623.97,,
CLM-001074,Water Mitigation,37045.15,,
CLM-001075,Structural,10104.81,,
CLM-001075,Water Mitigation,21496.02,,
CLM-001076,Exterior/Siding,9099.72,,
CLM-001077,Exterior/Siding,139540.86,128199.01,2026-07-31
CLM-001078,Exterior/Siding,11484.32,13478.9,2026-08-04
CLM-001079,Exterior/Siding,160763.38,,
CLM-001080,Roof,36511.03,,
CLM-001081,Water Mitigation,32125.36,,
CLM-001081,Contents,48973.03,,
CLM-001082,Contents,48078.81,,
CLM-001082,Exterior/Siding,79240.2,,
CLM-001082,Roof,103445.21,,
CLM-001083,Structural,47768.19,,
CLM-001084,Structural,11349.61,,
CLM-001084,Roof,26169.58,,
CLM-001085,Contents,10868.06,,
CLM-001085,Water Mitigation,22166.37,,
CLM-001086,Roof,30889.41,,
CLM-001087,Contents,19624.41,,
CLM-001088,Contents,99965.08,,
CLM-001089,Structural,43256.49,,
CLM-001089,Contents,64399.85,,
CLM-001090,Structural,33413.6,,
CLM-001091,Roof,11112.32,,
CLM-001092,Contents,8351.95,,
CLM-001093,Roof,8406.9,,
CLM-001093,Contents,12514.01,,
CLM-001094,Contents,23740.65,,
CLM-001095,Roof,54307.86,,
CLM-001096,Structural,5838.37,,
CLM-001096,Roof,10321.28,,
CLM-001097,Exterior/Siding,23810.82,,
CLM-001097,Contents,42552.73,,
CLM-001097,Structural,93604.34,,
CLM-001098,Exterior/Siding,9039.02,,
CLM-001099,Contents,85549.41,,
CLM-001099,Exterior/Siding,210534.36,,
CLM-001100,Structural,16205.73,,
CLM-001100,Contents,19303.21,,
CLM-001100,Water Mitigation,49255.38,,
CLM-001101,Exterior/Siding,173517.79,,
CLM-001102,Roof,2789.9,,
CLM-001102,Structural,7915.32,,
CLM-001103,Exterior/Siding,72172.44,,
CLM-001103,Roof,113048.29,,
CLM-001103,Structural,250391.32,,
CLM-001104,Exterior/Siding,29738.52,,
CLM-001105,Exterior/Siding,15467.55,,
CLM-001105,Roof,21426.85,,
CLM-001106,Structural,33664.69,,
CLM-001106,Contents,89710.53,,
CLM-001107,Exterior/Siding,93364.94,,
CLM-001108,Roof,29415.88,,
CLM-001109,Water Mitigation,7109.6,,
CLM-001109,Structural,20271.0,,
CLM-001110,Structural,164280.4,,
CLM-001111,Roof,24630.59,,
CLM-001112,Water Mitigation,54455.38,,
CLM-001112,Exterior/Siding,72339.25,,
CLM-001113,Contents,6932.1,,
CLM-001113,Water Mitigation,14467.4,,
CLM-001114,Water Mitigation,9833.59,,
CLM-001114,Contents,11802.07,,
CLM-001115,Exterior/Siding,21518.96,,
CLM-001115,Roof,54158.65,,
CLM-001116,Contents,75613.4,,
CLM-001116,Roof,145879.59,,
CLM-001117,Structural,8256.38,,
CLM-001118,Exterior/Siding,17856.61,,
CLM-001119,Roof,89950.1,,
CLM-001120,Structural,19485.15,,
CLM-001120,Contents,26650.91,,
CLM-001121,Exterior/Siding,319331.84,,
CLM-001122,Water Mitigation,4064.36,,
CLM-001122,Exterior/Siding,6881.7,,
CLM-001122,Structural,14448.51,,
CLM-001123,Water Mitigation,11336.84,,
CLM-001124,Structural,60850.81,,
CLM-001124,Water Mitigation,104475.8,,
CLM-001125,Water Mitigation,244464.09,,
CLM-001126,Structural,28996.33,,
CLM-001126,Exterior/Siding,76427.21,,
CLM-001127,Contents,12776.1,,
CLM-001128,Exterior/Siding,56682.88,,
CLM-001128,Contents,161395.35,,
CLM-001129,Contents,21731.27,,
CLM-001129,Water Mitigation,35191.36,,
CLM-001130,Contents,14725.63,,
CLM-001131,Exterior/Siding,5896.98,,
CLM-001131,Contents,9050.92,,
CLM-001132,Structural,238329.9,,
CLM-001133,Structural,443820.64,,
CLM-001134,Exterior/Siding,21539.19,,
CLM-001134,Contents,55917.36,,
CLM-001135,Contents,9130.75,,
CLM-001135,Structural,10589.49,,
CLM-001136,Roof,79797.42,,
CLM-001137,Water Mitigation,11207.99,,
CLM-001137,Exterior/Siding,12840.44,,
CLM-001138,Contents,7643.63,,
CLM-001138,Water Mitigation,15005.84,,
CLM-001138,Roof,28660.28,,
CLM-001139,Structural,3159.47,,
CLM-001139,Roof,8856.49,,
CLM-001140,Contents,17875.53,,
CLM-001141,Water Mitigation,40608.93,,
CLM-001142,Exterior/Siding,3513.23,,
CLM-001142,Water Mitigation,6233.83,,
CLM-001143,Roof,35425.86,,
CLM-001144,Roof,27135.48,,
CLM-001144,Exterior/Siding,33658.53,,
CLM-001144,Structural,74436.34,,
CLM-001145,Exterior/Siding,38702.29,,
CLM-001145,Structural,99733.78,,
CLM-001146,Roof,20985.41,,
CLM-001147,Exterior/Siding,9154.62,,
CLM-001148,Roof,5766.62,,
CLM-001148,Contents,10181.6,,
CLM-001149,Water Mitigation,36308.77,,
CLM-001149,Structural,53714.64,,
CLM-001149,Roof,78870.8,,
CLM-001150,Water Mitigation,52905.28,,
CLM-001151,Structural,13582.65,,
CLM-001151,Exterior/Siding,29280.22,,
CLM-001152,Water Mitigation,25352.69,,
CLM-001152,Exterior/Siding,38492.38,,
CLM-001152,Contents,65222.05,,
CLM-001153,Contents,41255.04,,
CLM-001153,Exterior/Siding,95580.23,,
CLM-001154,Roof,19203.02,,
CLM-001154,Contents,62160.93,,
CLM-001155,Water Mitigation,1026864.45,,
CLM-001156,Contents,63911.46,,
CLM-001156,Water Mitigation,62066.44,,
CLM-001156,Exterior/Siding,147630.77,,
CLM-001157,Exterior/Siding,73643.01,,
CLM-001157,Contents,115589.22,,
CLM-001157,Water Mitigation,302457.26,,
CLM-001158,Exterior/Siding,98937.67,,
CLM-001159,Contents,37771.47,,
CLM-001160,Water Mitigation,10387.73,9461.18,2026-08-13
CLM-001161,Exterior/Siding,75675.92,,
CLM-001161,Roof,100109.59,,
CLM-001162,Exterior/Siding,310588.53,,
CLM-001162,Contents,634530.13,,
CLM-001162,Structural,1310172.13,,
CLM-001163,Contents,27431.63,,
CLM-001163,Exterior/Siding,38822.63,,
CLM-001164,Structural,25203.09,,
CLM-001164,Water Mitigation,43824.5,,
CLM-001165,Water Mitigation,5768.26,,
CLM-001165,Contents,10508.58,,
CLM-001165,Structural,19225.43,,
CLM-001166,Water Mitigation,22723.01,,
CLM-001167,Structural,25187.62,,
CLM-001167,Roof,49256.08,,
CLM-001168,Structural,28598.17,,
CLM-001168,Roof,50278.61,,
CLM-001168,Exterior/Siding,110377.43,,
CLM-001169,Contents,45970.79,,
CLM-001169,Structural,81826.68,,
CLM-001169,Water Mitigation,156171.02,,
CLM-001170,Exterior/Siding,19710.77,,
CLM-001170,Structural,51694.87,,
CLM-001171,Contents,20958.93,,
CLM-001172,Exterior/Siding,57670.38,,
CLM-001173,Contents,18705.55,,
CLM-001173,Water Mitigation,44455.93,,
CLM-001174,Exterior/Siding,31596.47,,
CLM-001175,Water Mitigation,165661.23,,
CLM-001175,Roof,239896.27,,
CLM-001176,Structural,14040.08,,
CLM-001176,Roof,18446.26,,
CLM-001177,Structural,64705.04,,
CLM-001177,Roof,82310.01,,
CLM-001177,Water Mitigation,185218.12,,
CLM-001178,Exterior/Siding,8448.64,,
CLM-001179,Water Mitigation,41475.86,,
CLM-001180,Roof,6498.94,,
CLM-001180,Exterior/Siding,7858.98,,
CLM-001180,Contents,14750.37,,
CLM-001181,Structural,8888.52,,
CLM-001181,Contents,15183.06,,
CLM-001182,Structural,28856.82,,
CLM-001183,Exterior/Siding,6238.45,,
CLM-001183,Structural,8766.58,,
CLM-001184,Structural,35107.78,,
CLM-001185,Contents,12579.13,,
CLM-001185,Water Mitigation,17293.81,,
CLM-001185,Exterior/Siding,36453.02,,
CLM-001186,Contents,29521.06,,
CLM-001187,Roof,5460.14,,
CLM-001188,Water Mitigation,37343.55,,
CLM-001189,Contents,13012.78,,
CLM-001189,Structural,21478.64,,
CLM-001190,Exterior/Siding,26262.86,,
CLM-001191,Contents,20543.52,,
CLM-001191,Exterior/Siding,30672.35,,
CLM-001192,Structural,168421.49,,
CLM-001192,Roof,518677.16,,
CLM-001193,Water Mitigation,79211.7,,
CLM-001194,Roof,8291.78,,
CLM-001194,Structural,11817.68,,
CLM-001195,Structural,20773.68,,
CLM-001195,Water Mitigation,29122.93,,
CLM-001196,Roof,84118.49,,
CLM-001197,Contents,14832.04,,
CLM-001198,Water Mitigation,69180.91,,
CLM-001199,Contents,8076.89,,
CLM-001199,Exterior/Siding,14411.72,,
CLM-001199,Water Mitigation,18780.38,,
CLM-001200,Roof,127128.55,,
CLM-001201,Contents,60423.39,,
CLM-001202,Contents,88445.23,,
CLM-001203,Exterior/Siding,102834.45,,
CLM-001203,Water Mitigation,232084.35,,
CLM-001204,Contents,68169.77,,
CLM-001204,Structural,115659.04,,
CLM-001205,Contents,84963.63,,
CLM-001205,Roof,172066.48,,
CLM-001206,Structural,2399.25,,
CLM-001206,Roof,8592.88,,
CLM-001207,Exterior/Siding,39509.04,,
CLM-001208,Structural,26457.33,,
CLM-001209,Water Mitigation,42266.54,47368.69,2026-08-17
CLM-001210,Contents,89658.12,,
CLM-001211,Water Mitigation,10148.72,,
CLM-001212,Contents,11789.63,,
CLM-001213,Exterior/Siding,294668.12,,
CLM-001213,Contents,328567.31,,
CLM-001213,Structural,624340.51,,
CLM-001214,Water Mitigation,58589.77,,
CLM-001215,Exterior/Siding,22486.13,,
